DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
ex1,1,Mk10,13:12:24 17-May-2017,Argos,0,35.3210,-74.7180,4082,28211,590,1,,,,,,
ex1,1,Mk10,19:29:11 17-May-2017,Argos,0,35.1216,-75.1770,1692,26991,106,66,,,,,,
ex1,1,Mk10,21:40:11 17-May-2017,Argos,B,34.5195,-73.5732,10315,525206,202,117,,,,,,
ex1,1,Mk10,22:41:35 17-May-2017,Argos,1,35.0966,-74.9257,680,2340,197,155,,,,,,
ex1,1,Mk10,23:23:51 17-May-2017,Argos,0,34.9996,-74.9933,2751,25412,297,103,,,,,,
ex1,1,Mk10,01:22:55 18-May-2017,Argos,2,35.0370,-75.0804,384,2482,59,77,,,,,,
ex1,1,Mk10,02:14:35 18-May-2017,Argos,Z,35.5328,-72.7726,11703,,,,,,,,,
ex1,1,Mk10,07:50:28 18-May-2017,Argos,1,30.1666,-52.0492,1279,6324,258,77,,,,,,Lat > 4 deviations from mean
ex1,1,Mk10,14:35:52 18-May-2017,Argos,Z,35.2377,-75.9885,,,,,,,,,,
ex1,1,Mk10,16:07:14 18-May-2017,Argos,A,34.5648,-73.5832,,,,,,,,,,
ex1,1,Mk10,00:08:44 19-May-2017,Argos,Z,34.0301,-75.6091,,,,,,,,,,
ex1,1,Mk10,02:40:49 19-May-2017,Argos,0,35.5740,-74.0033,14582,565241,376,59,,,,,,
ex1,1,Mk10,09:28:57 19-May-2017,Argos,0,35.4281,-74.7788,10668,178016,639,65,,,,,,
ex1,1,Mk10,11:16:11 19-May-2017,Argos,1,35.3242,-75.1617,1377,25693,73,93,,,,,,
ex1,1,Mk10,14:10:16 19-May-2017,Argos,A,35.3216,-74.8400,726,4609,114,119,,,,,,
ex1,1,Mk10,15:04:05 19-May-2017,Argos,0,35.2380,-74.7194,1853,40515,84,102,,,,,,
ex1,1,Mk10,18:58:56 19-May-2017,Argos,0,35.1793,-76.3334,17697,506989,617,94,,,,,,
ex1,1,Mk10,20:44:47 19-May-2017,Argos,0,29.4755,-101.5408,1728,6325,471,126,,,,,,Lat > 4 deviations from mean
ex1,1,Mk10,22:31:26 19-May-2017,Argos,1,35.4280,-74.7739,775,6185,97,91,,,,,,
ex1,1,Mk10,22:31:26 19-May-2017,Argos,Z,35.1591,-77.2339,93061,,,,,,,,,
ex1,1,Mk10,23:16:53 19-May-2017,Argos,Z,35.4658,-76.0396,128325,,,,,,,,,
ex1,1,Mk10,00:44:15 20-May-2017,Argos,B,35.2057,-74.5743,90743,,,,,,,,,
ex1,1,Mk10,01:35:15 20-May-2017,Argos,Z,35.8783,-74.6212,,,,,,,,,,
ex1,1,Mk10,02:26:18 20-May-2017,Argos,0,35.3773,-74.6999,277327,,,,,,,,,
ex1,1,Mk10,13:55:13 20-May-2017,Argos,Z,35.0903,-74.9117,290850,,,,,,,,,
ex1,1,Mk10,20:32:39 20-May-2017,Argos,0,30.6533,-96.2803,2006,4032,998,148,,,,,,Lat > 4 deviations from mean
ex1,1,Mk10,22:22:09 20-May-2017,Argos,0,35.4588,-74.9399,5319,80930,349,62,,,,,,
ex1,1,Mk10,23:55:54 20-May-2017,Argos,B,35.0583,-75.0629,1940,38937,96,52,,,,,,
ex1,1,Mk10,00:28:48 21-May-2017,Argos,0,35.2335,-74.8906,4644,28524,756,143,,,,,,
ex1,1,Mk10,02:00:31 21-May-2017,Argos,A,34.9966,-77.3477,108805,,,,,,,,,
ex1,1,Mk10,02:47:54 21-May-2017,Argos,1,30.7612,-96.9538,579,2000,167,54,,,,,,Lat > 4 deviations from mean
ex1,1,Mk10,08:57:43 21-May-2017,Argos,1,35.2119,-74.9180,517,1091,245,68,,,,,,
ex1,1,Mk10,09:58:05 21-May-2017,Argos,Z,35.4208,-76.9924,331627,,,,,,,,,
ex1,1,Mk10,11:44:52 21-May-2017,Argos,0,35.3396,-74.9153,9243,130867,652,82,,,,,,
ex1,1,Mk10,12:07:05 21-May-2017,Argos,0,35.2313,-74.9058,1941,15321,245,89,,,,,,
ex1,1,Mk10,14:00:24 21-May-2017,Argos,B,35.6524,-75.5154,16953,766018,375,143,,,,,,
ex1,1,Mk10,14:20:43 21-May-2017,Argos,0,35.1993,-75.5998,8234,165919,408,81,,,,,,
ex1,1,Mk10,16:47:34 21-May-2017,Argos,Z,35.6442,-74.4491,241731,,,,,,,,,
ex1,1,Mk10,21:44:21 21-May-2017,Argos,0,35.0659,-74.8174,4056,29402,559,35,,,,,,
ex1,1,Mk10,22:08:33 21-May-2017,Argos,A,35.2762,-74.7534,240,1095,52,59,,,,,,
ex1,1,Mk10,02:25:21 22-May-2017,Argos,0,35.1978,-74.6031,12525,151914,1032,74,,,,,,
ex1,1,Mk10,07:05:19 22-May-2017,Argos,0,35.1639,-74.8635,4214,23248,763,2,,,,,,
ex1,1,Mk10,08:52:16 22-May-2017,Argos,Z,35.4040,-72.1834,,,,,,,,,,
ex1,1,Mk10,10:34:01 22-May-2017,Argos,B,34.9717,-74.9715,16784,,,,,,,,,
ex1,1,Mk10,18:25:32 22-May-2017,Argos,Z,34.8726,-75.4339,250478,,,,,,,,,
