animal,line,ptt,date,time,latitude,longitud,elong,lc94,nmess,weeddist,weedrate,weedboth,pick,duty,dutylocs,deltahr,nopc,iqx,iqy,nlocrank,distance,rate,azimuth,azimuth2,month,day,year,hour,minute,second,jd,jday,lat_p,lon_p,lat_a,lon_a,switch,first,latest,deployed,daysdply,dist2dply,azfrmdply,azfrmdply2,apbest,apfreq,gt120,dur,altitude,gmt_date,gmt_hour,gmt_min,gmt_sec,sen1,sen2,sen3,sen4,deploy,spp,thetime,colorname,sex,age,popid,icontype,ddmm,mmdd,deplylat,deplylon,exclude,solarhr,solarmn,solarda,solarmo,solaryr,sampsize
ex1,ex120170616:104313Z99,1,2017-06-16,10:43:13,35.502,-74.385,285.615,L0,6,1,0,1,1,38,8,25.95,2,6,0,5606,48.54,1.87,200.46,200.35,6,16,2017,10,43,13,17167,167,35.502,-74.385,25.233,-26.479,0,0,0,5/10/2017,37,29.22,97.07,97.25,-133,677553.5,0,92,0,6/16/2017,10,43,13,191,125,85,156,ex1-1,z.cavirostris,16JUN17:10:43:13,yellow,M,A,,circle,16_06,06_16,35.535,-74.705,0,5,45,16,6,2017,392
ex1,ex120170617:215723Z99,1,2017-06-17,21:57:23,35.51,-74.716,285.284,L0,4,1,0,1,1,39,11,35.24,1,5,0,5504,30.04,0.85,271.79,271.6,6,17,2017,21,57,23,17168,168,35.51,-74.716,45.401,-28.061,0,0,0,5/10/2017,38,2.94,200.55,200.54,-135,677582.5,0,138,0,6/17/2017,21,57,23,183,136,117,162,ex1-1,z.cavirostris,17JUN17:21:57:23,yellow,M,A,,circle,17_06,06_17,35.535,-74.705,0,16,58,17,6,2017,392
ex1,ex120170618:115900Z99,1,2017-06-18,11:59:00,35.202,-74.962,285.038,L1,6,1,0,0,1,40,7,14.03,1,5,0,10506,40.84,2.91,213.27,213.13,6,18,2017,11,59,0,17169,169,32.562,-62.824,35.202,-74.962,1,0,0,5/10/2017,39,43.71,212.43,212.28,-122,677576.2,0,128,0,6/18/2017,11,59,0,183,136,117,162,ex1-1,z.cavirostris,18JUN17:11:59:00,yellow,M,A,,circle,18_06,06_18,35.535,-74.705,0,6,59,18,6,2017,392
ex1,ex120170619:082716Z99,1,2017-06-19,8:27:16,35.129,-74.948,285.052,L2,4,0,0,0,1,41,6,20.47,3,6,0,20604,8.2,0.4,171.05,171.05,6,19,2017,8,27,16,17170,170,35.129,-74.948,33.47,-67.119,0,0,0,5/10/2017,40,50.17,206.24,206.1,-121,677524.2,0,76,0,6/19/2017,8,27,16,59,33,101,158,ex1-1,z.cavirostris,19JUN17:08:27:16,yellow,M,A,,circle,19_06,06_19,35.535,-74.705,0,3,27,19,6,2017,392
ex1,ex120170619:142345Z99,1,2017-06-19,14:23:45,35.176,-74.838,285.162,LA,3,1,0,0,0,41,6,5.94,2,0,8,3003.8,11.3,1.9,62.48,62.55,6,19,2017,14,23,45,17170,170,35.176,-74.838,32.121,-60.015,0,0,0,5/10/2017,40,41.62,196.98,196.9,-124,677596.7,0,31,0,6/19/2017,14,23,45,59,33,101,158,ex1-1,z.cavirostris,19JUN17:14:23:45,yellow,M,A,,circle,19_06,06_19,35.535,-74.705,0,9,24,19,6,2017,392
ex1,ex120170620:004715Z99,1,2017-06-20,0:47:15,35.216,-74.848,285.152,L0,7,1,0,0,0,42,12,10.39,4,5,8,5507.8,4.53,0.44,348.41,348.4,6,20,2017,0,47,15,17171,171,35.216,-74.848,42.135,-39.233,0,0,0,5/10/2017,41,37.7,200.26,200.18,-122,677580.6,0,285,0,6/20/2017,0,47,15,188,203,5,166,ex1-1,z.cavirostris,20JUN17:00:47:15,yellow,M,A,,circle,20_06,06_20,35.535,-74.705,0,19,47,19,6,2017,392
ex1,ex120170620:081743Z99,1,2017-06-20,8:17:43,35.235,-74.824,285.176,L0,9,1,0,0,0,42,12,7.51,2,5,8,5509.8,3.04,0.4,46.02,46.03,6,20,2017,8,17,43,17171,171,35.235,-74.824,32.49,-61.705,0,0,0,5/10/2017,41,34.99,198.09,198.03,-123,677550.3,0,153,0,6/20/2017,8,17,43,59,33,101,158,ex1-1,z.cavirostris,20JUN17:08:17:43,yellow,M,A,,circle,20_06,06_20,35.535,-74.705,0,3,18,20,6,2017,392
ex1,ex120170620:111841Z99,1,2017-06-20,11:18:41,35.34,-74.664,285.336,L2,6,0,0,0,1,42,12,3.02,1,5,0,20506,18.64,6.18,51.28,51.37,6,20,2017,11,18,41,17171,171,33.437,-65.43,35.34,-74.664,1,0,0,5/10/2017,41,21.93,170.3,170.33,-120,677581.1,0,157,0,6/20/2017,11,18,41,180,26,149,167,ex1-1,z.cavirostris,20JUN17:11:18:41,yellow,M,A,,circle,20_06,06_20,35.535,-74.705,0,6,20,20,6,2017,392
ex1,ex120170621:080242Z99,1,2017-06-21,8:02:42,35.56,-74.653,285.347,L1,4,1,0,0,0,43,10,20.73,3,5,0,10504,24.43,1.18,2.34,2.35,6,21,2017,8,2,42,17172,172,31.55,-56.19,35.56,-74.653,1,0,0,5/10/2017,42,5.45,59.15,59.18,-125,677602.3,0,141,0,6/21/2017,8,2,42,180,26,149,167,ex1-1,z.cavirostris,21JUN17:08:02:42,yellow,M,A,,circle,21_06,06_21,35.535,-74.705,0,3,4,21,6,2017,392
ex1,ex120170621:193034Z99,1,2017-06-21,19:30:34,35.615,-74.721,285.279,L0,5,1,0,0,0,43,10,11.46,4,6,0,5605,8.67,0.76,314.74,314.7,6,21,2017,19,30,34,17172,172,35.615,-74.721,38.003,-63.493,0,0,0,5/10/2017,42,9.02,350.53,350.52,-129,677541.6,0,146,0,6/21/2017,19,30,34,187,133,39,201,ex1-1,z.cavirostris,21JUN17:19:30:34,yellow,M,A,,circle,21_06,06_21,35.535,-74.705,0,14,31,21,6,2017,392
ex1,ex120170621:225035Z99,1,2017-06-21,22:50:35,35.636,-74.451,285.549,L3,10,0,0,0,1,43,10,3.33,3,6,0,30610,24.57,7.37,84.48,84.64,6,21,2017,22,50,35,17172,172,32.472,-58.73,35.636,-74.451,1,0,0,5/10/2017,42,25.58,63.9,64.04,-122,677585.2,0,204,0,6/21/2017,22,50,35,59,33,101,158,ex1-1,z.cavirostris,21JUN17:22:50:35,yellow,M,A,,circle,21_06,06_21,35.535,-74.705,0,17,52,21,6,2017,392
ex1,ex120170622:075214Z99,1,2017-06-22,7:52:14,35.743,-74.579,285.421,L0,5,1,0,1,1,44,10,9.03,2,6,8,5605.8,16.59,1.84,315.74,315.66,6,22,2017,7,52,14,17173,173,35.743,-74.579,30.594,-50.57,0,0,0,5/10/2017,43,25.75,26.19,26.26,-125,677697.7,0,53,0,6/22/2017,7,52,14,4,157,16,125,ex1-1,z.cavirostris,22JUN17:07:52:14,yellow,M,A,,circle,22_06,06_22,35.535,-74.705,1,2,53,22,6,2017,392
ex1,ex120170622:125255Z99,1,2017-06-22,12:52:55,35.623,-74.783,285.217,L0,8,1,0,1,0,44,10,5.01,4,5,6,5508.6,22.77,4.54,234.27,234.15,6,22,2017,12,52,55,17173,173,35.623,-74.783,38.471,-88.096,0,0,0,5/10/2017,43,12.09,324.04,323.99,-122,677643.1,0,141,0,6/22/2017,12,52,55,191,128,245,168,ex1-1,z.cavirostris,22JUN17:12:52:55,yellow,M,A,,circle,22_06,06_22,35.535,-74.705,0,7,53,22,6,2017,392
ex1,ex120170622:155055Z99,1,2017-06-22,15:50:55,35.405,-74.844,285.156,L0,5,1,0,1,0,44,10,2.97,3,5,8,5505.8,24.81,8.36,192.9,192.87,6,22,2017,15,50,55,17173,173,35.405,-74.844,40.529,-101.106,0,0,0,5/10/2017,43,19.17,221.33,221.25,-125,677543.1,0,111,0,6/22/2017,15,50,55,189,158,37,,ex1-1,z.cavirostris,22JUN17:15:50:55,yellow,M,A,,circle,22_06,06_22,35.535,-74.705,0,10,51,22,6,2017,392
ex1,ex120170622:232329Z99,1,2017-06-22,23:23:29,35.369,-74.538,285.462,L0,7,1,0,1,0,44,10,7.54,2,5,0,5507,28.09,3.72,98.09,98.26,6,22,2017,23,23,29,17173,173,35.369,-74.538,31.658,-92.817,0,0,0,5/10/2017,43,23.82,140.52,140.62,-121,677674.2,0,114,0,6/22/2017,23,23,29,50,41,5,164,ex1-1,z.cavirostris,22JUN17:23:23:29,yellow,M,A,,circle,22_06,06_22,35.535,-74.705,0,18,25,22,6,2017,392
ex1,ex120170623:012704Z99,1,2017-06-23,1:27:04,35.444,-74.598,285.402,L0,8,1,0,1,0,45,5,2.06,4,5,0,5508,9.95,4.83,326.79,326.76,6,23,2017,1,27,4,17174,174,35.444,-74.598,38.832,-57.852,0,0,0,5/10/2017,44,13.97,136.13,136.2,-116,677586.2,5,150,0,6/23/2017,1,27,4,189,158,37,170,ex1-1,z.cavirostris,23JUN17:01:27:04,yellow,M,A,,circle,23_06,06_23,35.535,-74.705,0,20,28,22,6,2017,392
ex1,ex120170623:152651Z99,1,2017-06-23,15:26:51,35.628,-74.748,285.252,L1,7,1,0,1,1,45,5,14,1,6,0,10607,24.53,1.75,326.37,326.28,6,23,2017,15,26,51,17174,174,38.915,-91.045,35.628,-74.748,1,0,0,5/10/2017,44,11.06,339.19,339.16,-116,677661.8,5,129,0,6/23/2017,15,26,51,188,95,85,173,ex1-1,z.cavirostris,23JUN17:15:26:51,yellow,M,A,,circle,23_06,06_23,35.535,-74.705,0,10,27,23,6,2017,392
ex1,ex120170623:190746Z99,1,2017-06-23,19:07:46,35.665,-74.657,285.343,L0,7,1,0,1,0,45,5,3.68,4,5,8,5507.8,9.21,2.5,63.49,63.55,6,23,2017,19,7,46,17174,174,35.665,-74.657,40.354,-52.7,0,0,0,5/10/2017,44,15.07,16.62,16.65,-129,677550.6,0,274,0,6/23/2017,19,7,46,189,158,37,170,ex1-1,z.cavirostris,23JUN17:19:07:46,yellow,M,A,,circle,23_06,06_23,35.535,-74.705,0,14,9,23,6,2017,392
ex1,ex120170625:221309Z99,1,2017-06-25,22:13:09,35.739,-74.534,285.466,L0,4,1,0,1,1,47,8,51.09,3,6,8,5604.8,13.83,0.27,53.55,53.62,6,25,2017,22,13,9,17176,176,35.739,-74.534,39.319,-57.193,0,0,0,5/10/2017,46,27.42,34.25,34.35,-130,677546.4,0,94,0,6/25/2017,22,13,9,187,27,85,172,ex1-1,z.cavirostris,25JUN17:22:13:09,yellow,M,A,,circle,25_06,06_25,35.535,-74.705,0,17,15,25,6,2017,392
ex1,ex120170626:012315Z99,1,2017-06-26,1:23:15,35.827,-74.589,285.411,L0,6,1,0,1,1,48,5,3.17,4,6,8,5606.8,10.96,3.46,333.03,333,6,26,2017,1,23,15,17177,177,35.827,-74.589,40.26,-52.832,0,0,0,5/10/2017,47,34.07,17.86,17.93,-129,677528.8,0,132,0,6/26/2017,1,23,15,177,55,21,175,ex1-1,z.cavirostris,26JUN17:01:23:15,yellow,M,A,,circle,26_06,06_26,35.535,-74.705,0,20,24,25,6,2017,392
ex1,ex120170627:154551Z99,1,2017-06-27,15:45:51,35.599,-74.679,285.321,L1,10,1,0,1,1,49,7,38.38,3,5,0,10510,26.58,0.69,197.87,197.82,6,27,2017,15,45,51,17178,178,35.599,-74.679,40.446,-99.423,0,0,1,5/10/2017,48,7.49,18.06,18.07,-119,677555.3,2,275,0,6/27/2017,15,45,51,188,205,197,181,ex1-1,z.cavirostris,27JUN17:15:45:51,yellow,M,A,,circle,27_06,06_27,35.535,-74.705,1,10,47,27,6,2017,392
